pdr;Egypt;-0.051270465
sgr;Egypt;-0.043119529
v_f;Egypt;-0.048498172
vol;Egypt;-0.047339209
b_t;El Salvador;-0.00225518
cmt;El Salvador;-0.026597335
mil;El Salvador;-0.022270255
oap;El Salvador;-0.057415261
ofd;El Salvador;-0.010066243
omt;El Salvador;-0.019983529
pdr;El Salvador;-0.048862775
sgr;El Salvador;-0.018500366
v_f;El Salvador;-0.048014232
vol;El Salvador;-0.01844261
b_t;Ethiopia;-0.008594204
cmt;Ethiopia;-0.003860184
mil;Ethiopia;-0.006969643
oap;Ethiopia;-0.051855887
ofd;Ethiopia;-0.003970959
omt;Ethiopia;-0.005895786
pdr;Ethiopia;-0.05398677
sgr;Ethiopia;-0.015082538
v_f;Ethiopia;-0.04968022
vol;Ethiopia;-0.036300429
b_t;Fiji;-0.005647213
cmt;Fiji;-0.027309434
mil;Fiji;-0.024380562
oap;Fiji;-0.056040747
ofd;Fiji;-0.009338481
omt;Fiji;-0.020913884
pdr;Fiji;-0.050000136
sgr;Fiji;-0.021829641
v_f;Fiji;-0.049974617
vol;Fiji;-0.019602603
b_t;Gabon;-0.004662968
cmt;Gabon;-0.020471674
mil;Gabon;-0.011269958
oap;Gabon;-0.05568458
ofd;Gabon;-0.009601881
omt;Gabon;-0.024132429
pdr;Gabon;-0.058700257
sgr;Gabon;-0.034480895
v_f;Gabon;-0.048702539
vol;Gabon;-0.014010903
b_t;Gambia;-0.005062536
cmt;Gambia;-0.009296238
mil;Gambia;-0.015596588
oap;Gambia;-0.058768862
ofd;Gambia;-0.020409441
omt;Gambia;-0.017912663
pdr;Gambia;-0.051325087
sgr;Gambia;-0.028106795
v_f;Gambia;-0.058308798
vol;Gambia;-0.019880985
b_t;Ghana;-0.013803103
cmt;Ghana;-0.00484683
mil;Ghana;-0.009182921
oap;Ghana;-0.072839701
ofd;Ghana;-0.02067544
omt;Ghana;-0.011480415
pdr;Ghana;-0.049847124
sgr;Ghana;-0.024299689
v_f;Ghana;-0.054051157
vol;Ghana;-0.014509358
b_t;Guatemala;-0.003984011
cmt;Guatemala;-0.034613494
mil;Guatemala;-0.013421673
oap;Guatemala;-0.054713891
ofd;Guatemala;-0.008332159
omt;Guatemala;-0.028825548
pdr;Guatemala;-0.04861474
sgr;Guatemala;-0.020663546
v_f;Guatemala;-0.048435041
vol;Guatemala;-0.015149596
b_t;Guinea;-0.007673477
cmt;Guinea;-0.002982529
mil;Guinea;-0.001985893
oap;Guinea;-0.050738815
ofd;Guinea;-0.007364766
omt;Guinea;-0.00637201
pdr;Guinea;-0.048526846
sgr;Guinea;-0.024070926
v_f;Guinea;-0.04892912
vol;Guinea;-0.023301323
b_t;Honduras;-0.005191266
cmt;Honduras;-0.03176319
mil;Honduras;-0.020620461
oap;Honduras;-0.061803413
ofd;Honduras;-0.016452546
omt;Honduras;-0.030737222
pdr;Honduras;-0.059355279
sgr;Honduras;-0.024527688
v_f;Honduras;-0.049048071
