"","Lowest","Low","Middle","Higher","National","Regressivity","Country","iso3c"
"Kyrgyz Republic",0.0325268965428485,0.0345239121201715,0.0352222768641024,0.0355468802361718,0.0339806119742819,0.915042229493596,"Kyrgyz Republic","KGZ"
"Lao PDR",0.0463952962042507,0.0438082003148274,0.0422498822607033,0.0437489830468231,0.0451559720431454,1.06048856391919,"Lao PDR","LAO"
"Latvia",0.0205161744522477,0.0184317936098715,0.0180321047224368,0.0174926172929679,0.0180529171618248,1.17284761386138,"Latvia","LVA"
"Lesotho",0.0191015880758861,0.0200864313158162,0.0225011279891594,0.0246952754547291,0.0202357212181397,0.773491598054969,"Lesotho","LSO"
"Liberia",0.0379070158881232,0.0317677541643487,0.0286978069752477,NA,0.0362091812708011,NA,"Liberia","LBR"
"Lithuania",0.019095663358227,0.0190695245192462,0.0187343563307633,0.0182235302869824,0.0187918486680041,1.04785752582021,"Lithuania","LTU"
"Macedonia, FYR",0.0192444351933087,0.0193471319351862,0.0195373421313975,0.0198408949551874,0.0195416942520058,0.969937859999468,"Macedonia, FYR","MKD"
"Madagascar",0.0392374127303042,0.0328992599054737,0.0192937818713926,0.0192365188329676,0.0385528848050435,2.0397356232178,"Madagascar","MDG"
"Malawi",0.0371174203477575,0.0357713664640521,0.0336380104019456,0.0280368414039243,0.0366434790479732,1.32388024075216,"Malawi","MWI"
"Maldives",0.0321118848773274,0.0316422358831576,0.0305719549764411,0.0305371527741566,0.031595098454089,1.05156774486531,"Maldives","MDV"
"Mali",0.0292221815913826,0.030484666056573,0.0290552293213373,0.0288729133230276,0.0294679685292054,1.01209674494733,"Mali","MLI"
"Mauritania",0.0266421864311562,0.0248423753889825,0.0231652099966404,0.0214780306003079,0.0252730112175533,1.24043898283552,"Mauritania","MRT"
"Mauritius",0.0239165803561029,0.0233685211021309,0.022412397839932,0.0221360044076189,0.0231188160127336,1.08043800117203,"Mauritius","MUS"
"Mexico",0.0281897420019426,0.0273968734126811,0.026188234303943,0.024789599311256,0.0269820452164239,1.13716005039028,"Mexico","MEX"
"Moldova",0.0264481249876237,0.0272254025454066,0.0273711095694449,0.02721015497617,0.0272130567880871,0.971994647247927,"Moldova","MDA"
"Mongolia",0.0236978972792656,0.0241479872798281,0.0244028087538768,0.0241948875020478,0.0239860310047707,0.979458874411373,"Mongolia","MNG"
"Montenegro",0.0224155892609322,0.0205773592051122,0.019740784455766,0.0206608023676014,0.0200292221392629,1.08493314354928,"Montenegro","MNE"
"Morocco",0.0229664561239357,0.0227524202424607,0.0226185643455143,0.0222750184301734,0.022729539328622,1.03104094822322,"Morocco","MAR"
"Mozambique",0.0284110689978765,0.0258216457350729,0.0234891829073912,0.0196091598194601,0.0279719834665028,1.44886722630928,"Mozambique","MOZ"
"Namibia",0.017535780084824,0.0171805765138318,0.0169812208837033,0.0166920975158054,0.0172965802304464,1.05054383178745,"Namibia","NAM"
"Nepal",0.0423029610485878,0.0417601339665315,0.0405197756359003,0.0408317025381877,0.0420722209692191,1.03603225971349,"Nepal","NPL"
"Nicaragua",0.03191295056211,0.0288562268288545,0.0283734071700549,NA,0.0314699574099447,NA,"Nicaragua","NIC"
"Niger",0.0241077385346362,0.0276613586768967,0.0200267997921388,0.0239899742730881,0.0244478690540441,1.00490889486615,"Niger","NER"
"Nigeria",0.0308683092636109,0.0314368860951906,0.0311836802106252,0.0284210390424251,0.0310075462972861,1.08610769710188,"Nigeria","NGA"
"Pakistan",0.0433324624303977,0.0437464066506833,0.0439884509740373,0.0445599219078041,0.0434878067435543,0.972453733650027,"Pakistan","PAK"
"Papua New Guinea",0.0372424741607066,0.0351311546140562,0.0319375707469588,0.0262723329365975,0.0325992703029278,1.41755489512801,"Papua New Guinea","PNG"
"Peru",0.0336948414648926,0.0328355180729822,0.0317436238242763,0.0309790224529798,0.0323955145526817,1.08766638831277,"Peru","PER"
"Philippines",0.0305138328341881,0.0277714208833194,0.0262411461407543,0.0264583836735647,0.0289380505060816,1.1532765270418,"Philippines","PHL"
"Romania",0.0223310884244108,0.0220358471568321,0.021875810318954,0.0213179809097517,0.0219368886751725,1.0475236148746,"Romania","ROU"
"Russian Federation",0.020020556082277,0.0193831770833755,0.0183268899450722,0.0172796451920089,0.018207293069548,1.15862078531193,"Russian Federation","RUS"
"Rwanda",0.0287289212286204,0.0281657300973126,0.0259904227260807,0.0253474640061022,0.0282326515526319,1.13340416310303,"Rwanda","RWA"
"Sao Tome and Principe",0.0278071533055228,0.0261279866068795,0.0248542497568318,0.0242723159789837,0.0252650548750128,1.14563246991345,"Sao Tome and Principe","STP"
